iter	Logloss
0	0.6174137073
1	0.5581325294
2	0.5054127225
3	0.4634454025
4	0.4425453715
5	0.4154640166
6	0.3913177678
7	0.3685035875
8	0.350241913
9	0.3410152231
10	0.3276119503
11	0.3164858162
12	0.3088247378
13	0.3011511027
14	0.2935590098
15	0.2891399547
16	0.2806371077
17	0.27726539
18	0.2733298966
19	0.2683519873
20	0.2648959412
21	0.2599941189
22	0.2588700764
23	0.2554090274
24	0.252086696
25	0.2488065169
26	0.2448983641
27	0.2425365235
28	0.240359448
29	0.2379083481
30	0.2363902339
31	0.2344554741
32	0.2324507283
33	0.229648304
34	0.2274005923
35	0.2260457812
36	0.2242144008
37	0.2230690833
38	0.2209319305
39	0.2191439855
40	0.2182167186
41	0.2162349505
42	0.2145569141
43	0.2142625443
44	0.2133635679
45	0.2093910009
46	0.2065416607
47	0.2050777857
48	0.2034147856
49	0.2029482332
50	0.201050299
51	0.1995983519
52	0.1983268086
53	0.1963781099
54	0.1927336727
55	0.1923547582
56	0.1919152164
57	0.1916516934
58	0.1905591118
59	0.1905398253
60	0.1868513288
61	0.1842648758
62	0.1839974583
63	0.180135232
64	0.177052832
65	0.1754202387
66	0.1733286365
67	0.1711243073
68	0.1695665219
69	0.1684569544
70	0.1670869625
71	0.1641637289
72	0.163965485
73	0.1631542468
74	0.1624956957
75	0.1613704018
76	0.1599618171
77	0.159199702
78	0.1572198958
79	0.1560682311
80	0.1554364967
81	0.1543447723
82	0.1520376182
83	0.1502852597
84	0.1492876245
85	0.1473725636
86	0.144051891
87	0.1440130492
88	0.142103662
89	0.140853303
90	0.1402005002
91	0.138536647
92	0.1360646037
93	0.1344294825
94	0.1343293071
95	0.1324073111
96	0.1316793193
97	0.1306883449
98	0.1302388136
99	0.12970659
100	0.1282459077
101	0.1279945988
102	0.1261602542
103	0.1258155291
104	0.1236224017
105	0.1221906368
106	0.1204019238
107	0.1195341012
108	0.1188038054
109	0.1187788576
110	0.1179024493
111	0.1178314114
112	0.1170816269
113	0.115047264
114	0.113931186
115	0.1128413997
116	0.1126131072
117	0.1120231324
