iter	Passed	Remaining
0	59	59661
1	61	30550
2	62	20791
3	64	16153
4	66	13193
5	68	11283
6	69	9858
7	70	8799
8	72	7964
9	73	7292
10	75	6790
11	76	6327
12	78	5942
13	79	5621
14	81	5332
15	82	5074
16	83	4850
17	85	4660
18	86	4466
19	87	4298
20	88	4148
21	90	4008
22	91	3887
23	92	3771
24	93	3659
25	95	3559
26	96	3464
27	98	3410
28	99	3327
29	100	3258
30	102	3191
31	103	3127
32	104	3066
33	105	3009
34	107	2953
35	108	2902
36	109	2848
37	110	2801
38	112	2759
39	113	2720
40	114	2675
41	115	2634
42	116	2597
43	117	2548
44	118	2516
45	119	2482
46	120	2451
47	121	2417
48	123	2389
49	124	2361
50	125	2335
51	126	2314
52	128	2291
53	129	2263
54	130	2244
55	132	2237
56	134	2219
57	135	2193
58	136	2174
59	136	2144
60	139	2143
61	140	2127
62	141	2107
63	142	2091
64	144	2074
65	145	2057
66	146	2041
67	147	2024
68	149	2012
69	150	1997
70	151	1980
71	152	1967
72	153	1952
73	154	1938
74	155	1923
75	157	1909
76	158	1898
77	159	1884
78	160	1873
79	161	1860
80	162	1848
81	164	1838
82	165	1827
83	166	1818
84	168	1809
85	169	1797
86	170	1788
87	171	1777
88	172	1768
89	173	1756
90	174	1745
91	175	1735
92	177	1726
93	178	1717
94	179	1708
95	180	1699
96	181	1690
97	182	1683
98	184	1677
99	185	1669
100	186	1661
101	187	1652
102	189	1646
103	190	1638
104	191	1630
105	192	1624
106	193	1617
107	195	1613
108	196	1605
109	197	1599
110	198	1593
111	200	1588
112	201	1583
113	203	1584
114	205	1579
115	206	1573
116	208	1572
117	209	1565
